tax	1047-OV	1082-OV	1202-OV	1279-OV	1330-OV	464-OV	481-OV	579-OV	581-OV	599-OV	640-OV	644A-OV	645-OV	713-OV	726-OV	728-OV	730-OV	731-OV	732-OV	733-OV	739-OV	740-OV	788-OV	936-OV	total
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga	0	0	0	0	0	0	0	0	154	0	41	0	152	0	0	0	0	0	0	0	0	0	0	0	347
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Shinella	0	0	0	0	0	0	0	0	0	10	128	23	0	173	0	0	0	0	0	0	0	0	0	0	334
Bacteria;Bacteria_none;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter	23	0	0	143	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	89	9	0	0	311
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus	0	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	294
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Lysinibacillus	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	14	0	16	0	0	272
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Aliicoccus	0	35	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	37	0	56	0	0	0	0	259
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micromonosporales;Micromonosporaceae;Actinoplanes	0	0	0	9	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	1	0	0	256
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	36	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Mesobacillus	0	0	0	0	0	0	0	0	1	0	197	0	43	0	0	0	0	0	0	0	0	0	0	0	241
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Kocuria	0	0	13	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	8	237
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Priestia	0	0	77	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	230
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Micrococcus	0	0	0	0	0	0	0	3	0	0	0	0	61	0	31	0	0	0	2	120	0	0	0	0	217
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Metabacillus	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium	0	0	0	0	0	0	0	25	0	0	0	0	47	0	0	22	0	0	15	0	0	0	94	0	203
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Sphaerotilus	0	0	0	0	0	0	0	0	0	0	50	0	0	0	99	0	0	0	46	0	0	0	0	0	195
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium	0	0	21	0	0	0	0	0	47	32	0	0	0	0	0	0	0	30	14	0	0	30	0	7	181
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Romboutsia	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	179
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae;Nocardioides	0	18	0	14	0	0	0	0	12	0	48	0	54	0	0	0	0	0	7	24	0	0	0	1	178
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas	15	0	5	0	0	0	0	28	16	0	0	92	0	0	0	0	0	0	0	4	0	8	0	2	170
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Microlunatus	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	165
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Ornithinimicrobiaceae;Ornithinimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	108	0	54	0	0	163
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Dermabacteraceae;Brachybacterium	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	137	0	13	0	0	151
