genus,1062-MG,1082-MG,1202-MG,1313-MG,481-MG,482-MG,581-MG,640-MG,644A-MG,713-MG,726-MG,728-MG,729-MG,730-MG,731-MG,734-MG,741-MG,769-MG,778-MG,781-MG,809-MG,816-MG,817-MG,936-MG,total,superkingdom,kingdom,phylum,class,order,family,tax
Garicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,5,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Garicola
Kocuria,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,9,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Kocuria
Micrococcus,0,12,0,0,0,0,0,0,8,0,0,0,0,37,0,70,0,25,0,13,0,18,0,0,183,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Micrococcus
Nesterenkonia,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,44,12,0,0,36,0,0,23,0,123,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Nesterenkonia
Yaniella,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,24,0,0,0,0,41,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Yaniella
Ornithinimicrobium,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,102,24,0,0,0,0,12,21,0,185,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Ornithinimicrobiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Ornithinimicrobiaceae;Ornithinimicrobium
Cellulosimicrobium,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,15,0,0,0,0,26,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Promicromonosporaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Promicromonosporaceae;Cellulosimicrobium
Marmoricola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,10,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae;Marmoricola
Nocardioides,0,20,6,0,0,0,0,0,3,5,0,8,0,0,0,91,1,0,0,6,70,0,20,18,248,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae;Nocardioides
Cutibacterium,22,22,0,0,0,83,0,18,81,125,3,21,46,2,0,0,67,47,0,39,135,109,21,200,1041,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Cutibacterium
