genus,1210-OV,1211-OV,1212-OV,1213-OV,1214-OV,1215-OV,1216-OV,1217-OV,551-OV,552-OV,553-OV,554-OV,555-OV,556-OV,557-OV,900-OV,901-OV,902-OV,903-OV,904-OV,905-OV,906-OV,907-OV,total,superkingdom,kingdom,phylum,class,order,family,tax
Marmoricola,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,18,6,0,7,0,53,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae;Marmoricola
Nocardioides,7,0,0,17,0,0,0,0,0,82,0,0,3,0,7,0,0,81,33,109,11,0,0,350,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae;Nocardioides
Cutibacterium,11,0,27,0,75,56,17,0,0,4,123,16,721,103,156,1,1,161,1,100,175,37,0,1785,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Cutibacterium
Mariniluteicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Mariniluteicoccus
Microlunatus,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Microlunatus
Nigerium,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,24,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Nigerium
Propioniciclava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,68,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Propioniciclava
Raineyella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Raineyella
Tessaracoccus,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,41,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Tessaracoccus
Actinomycetospora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,2,0,27,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Pseudonocardiales;Pseudonocardiaceae;Actinomycetospora
