genus,1047-OV,1082-OV,1202-OV,1279-OV,1330-OV,464-OV,481-OV,579-OV,581-OV,599-OV,640-OV,644A-OV,645-OV,713-OV,726-OV,728-OV,730-OV,731-OV,732-OV,733-OV,739-OV,740-OV,788-OV,936-OV,total,superkingdom,kingdom,phylum,class,order,family,tax
Krasilnikovia,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micromonosporales;Micromonosporaceae;Krasilnikovia
Micromonospora,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micromonosporales;Micromonosporaceae;Micromonospora
Wangella,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micromonosporales;Micromonosporaceae;Wangella
Marmoricola,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,6,0,0,0,0,0,16,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae;Marmoricola
Nocardioides,0,18,0,14,0,0,0,0,12,0,48,0,54,0,0,0,0,0,7,24,0,0,0,1,178,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae;Nocardioides
Cutibacterium,0,0,49,38,21,221,7,32,16,141,404,7,300,0,148,54,0,104,9,81,57,0,126,6,1821,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Cutibacterium
Mariniluteicoccus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Mariniluteicoccus
Microlunatus,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,165,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Microlunatus
Tessaracoccus,0,0,0,0,0,0,0,0,0,34,25,0,0,0,0,0,0,0,0,0,0,0,0,0,59,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Tessaracoccus
Actinomycetospora,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,20,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Pseudonocardiales;Pseudonocardiaceae;Actinomycetospora
Allosaccharopolyspora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,18,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Pseudonocardiales;Pseudonocardiaceae;Allosaccharopolyspora
Pseudonocardia,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,7,0,0,0,0,0,35,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia
Saccharopolyspora,0,0,0,0,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Pseudonocardiales;Pseudonocardiaceae;Saccharopolyspora
Sporichthya,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Sporichthyales,Sporichthyaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Sporichthyales;Sporichthyaceae;Sporichthya
Streptomyces,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces
Nocardiopsis,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,14,11,0,0,0,0,0,35,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Streptosporangiales,Nocardiopsaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Streptosporangiales;Nocardiopsaceae;Nocardiopsis
Nonomuraea,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,31,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Streptosporangiales;Streptosporangiaceae;Nonomuraea
Thermophilibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,Bacteria,Bacteria_none,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter
