genus,1062-MG,1082-MG,1202-MG,1313-MG,481-MG,482-MG,581-MG,640-MG,644A-MG,713-MG,726-MG,728-MG,729-MG,730-MG,731-MG,734-MG,741-MG,769-MG,778-MG,781-MG,809-MG,816-MG,817-MG,936-MG,total,superkingdom,kingdom,phylum,class,order,family,tax
Brevundimonas,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,19,0,68,364,466,Bacteria,none,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas
Hydrogenophaga,0,0,1,0,0,3,0,57,3,2,0,5,0,0,0,0,1,13,0,0,13,4,362,2,466,Bacteria,none,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga
Microvirga,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,428,435,Bacteria,none,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga
Zymobacter,244,3,1,2,1,2,1,1,0,1,0,0,1,25,0,1,0,0,0,0,1,1,144,1,430,Bacteria,none,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Bacteria;none;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Zymobacter
Aeromonas,0,0,5,0,0,0,0,0,0,0,0,71,73,54,0,0,182,0,0,0,0,0,0,0,385,Bacteria,none,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Bacteria;none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas
Entomomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,0,358,Bacteria,none,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria;none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Entomomonas
Azohydromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,353,Bacteria,none,Proteobacteria,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Azohydromonas
Asaia,0,0,44,0,0,0,1,0,0,1,1,0,0,180,0,1,1,0,0,0,0,0,123,1,353,Bacteria,none,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Asaia
Arsenophonus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,348,Bacteria,none,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Bacteria;none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Arsenophonus
Prolinoborus,156,0,0,0,0,0,3,3,0,11,2,6,26,10,0,17,1,0,0,62,0,0,50,0,347,Bacteria,none,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Prolinoborus
