tax	1210-OV	1211-OV	1212-OV	1213-OV	1214-OV	1215-OV	1216-OV	1217-OV	551-OV	552-OV	553-OV	554-OV	555-OV	556-OV	557-OV	900-OV	901-OV	902-OV	903-OV	904-OV	905-OV	906-OV	907-OV	total
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium	0	0	0	0	13	0	0	0	0	0	0	0	23	1	0	14	7	165	5	59	31	11	0	329
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Dermabacteraceae;Brachybacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	4	41	13	187	66	8	0	325
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Citricoccus	0	0	3	0	0	0	0	0	0	0	0	0	96	24	0	0	0	113	0	79	0	0	0	315
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Planococcaceae;Chryseomicrobium	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	1	75	0	114	68	0	0	296
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Stutzerimonas	23	0	1	0	27	0	0	0	31	1	0	0	0	8	2	0	12	82	0	52	0	20	0	259
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia	13	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter	0	0	0	0	0	0	53	0	0	0	14	0	0	0	62	0	0	26	15	55	0	0	0	225
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	0	0	5	62	0	0	0	0	0	0	0	0	96	0	0	61	0	0	0	0	0	0	0	224
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Sphaerotilus	0	0	0	0	0	0	70	0	0	0	0	0	0	0	122	0	0	0	0	31	0	0	0	223
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	4	22	78	93	0	0	0	209
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylotenera	43	0	11	61	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Zoogloea	0	0	0	62	0	71	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	11	0	201
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Nocardiaceae;Rhodococcus	6	0	5	0	4	0	0	0	18	0	0	0	0	14	0	1	0	0	0	133	0	0	0	181
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Microbacterium	40	0	0	0	2	0	41	0	0	0	0	1	0	9	0	0	2	0	0	68	17	0	0	180
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_Incertae_sedis;Aquariibacter	0	0	0	0	0	0	0	0	0	0	0	84	73	22	0	0	0	0	0	0	0	0	0	179
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga	15	0	0	44	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	26	17	59	0	169
Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Spirosoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	53	0	0	0	48	0	159
