tax	1210-MG	1211-MG	1212-MG	1213-MG	1214-MG	1215-MG	1216-MG	1217-MG	551-MG	552-MG	553-MG	554-MG	555-MG	556-MG	557-MG	900-MG	901-MG	902-MG	903-MG	904-MG	905-MG	906-MG	907-MG	total
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Prolinoborus	1	2	110	32	0	0	0	2	13	0	8	1	0	0	0	0	0	0	0	0	0	32	1	202
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga	22	70	0	0	0	14	0	0	0	0	0	2	0	0	0	88	0	0	0	0	0	0	1	197
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter	0	34	0	42	2	0	2	0	0	0	14	0	88	0	0	0	0	0	0	0	0	0	0	182
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas	0	0	0	0	0	152	15	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	174
Bacteria;Bacteria_none;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter	50	103	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas	0	23	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	156
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium	0	7	11	0	0	0	0	2	0	0	0	1	0	53	23	6	0	0	0	47	3	0	0	153
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Ornithinimicrobiaceae;Ornithinimicrobium	9	2	0	9	0	0	0	0	0	0	0	2	0	14	0	87	0	0	25	2	0	0	0	150
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Belnapia	11	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Leucobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	140
Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Spirosoma	41	0	0	0	0	0	10	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	4	130
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas	0	9	0	5	0	46	27	0	0	0	0	0	35	0	3	0	0	0	0	0	0	0	0	125
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter	0	0	0	1	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Asaia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	121	0	0	0	0	0	0	0	122
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Skermanella	0	0	0	0	0	92	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	122
